timestamp,state,energy,gripper_step
9.142,CONTACT,0.024305,0
9.175,CONTACT,0.024339,0
9.208,CONTACT,0.024343,0
9.241,CONTACT,0.024321,0
9.275,CONTACT,0.024315,0
9.308,CONTACT,0.024363,0
9.341,CONTACT,0.024347,0
9.375,CONTACT,0.024324,0
9.408,CONTACT,0.024408,0
9.441,CONTACT,0.024387,0
9.475,CONTACT,0.024338,0
9.508,CONTACT,0.024352,0
9.542,CONTACT,0.024352,0
9.575,CONTACT,0.024420,0
9.608,CONTACT,0.024360,0
9.641,CONTACT,0.024351,0
9.675,CONTACT,0.024381,0
9.708,CONTACT,0.024322,0
9.742,CONTACT,0.024425,0
9.775,CONTACT,0.024394,0
9.808,CONTACT,0.024353,0
9.842,CONTACT,0.024419,0
9.875,CONTACT,0.024334,0
9.908,CONTACT,0.024352,0
9.941,CONTACT,0.024391,0
9.977,CONTACT,0.024366,0
10.008,CONTACT,0.024376,0
10.042,CONTACT,0.024443,0
10.075,CONTACT,0.024328,0
10.108,CONTACT,0.024446,0
10.141,CONTACT,0.024354,0
10.175,CONTACT,0.024354,0
10.208,CONTACT,0.024354,0
10.241,CONTACT,0.024354,0
10.275,CONTACT,0.024354,0
10.308,CONTACT,0.024360,0
10.342,CONTACT,0.020939,0
10.375,CONTACT,0.018310,0
10.408,CONTACT,0.018287,0
10.441,CONTACT,0.017263,0
10.475,CONTACT,0.016893,0
10.508,CONTACT,0.016495,0
10.542,CONTACT,0.015570,0
10.575,CONTACT,0.014642,0
10.608,CONTACT,0.013579,0
10.642,CONTACT,0.012842,0
10.675,CONTACT,0.012029,0
10.710,CONTACT,0.011778,0
10.741,CONTACT,0.010827,0
10.775,CONTACT,0.010640,0
10.809,CONTACT,0.010532,0
10.842,CONTACT,0.010629,0
10.875,CONTACT,0.010189,0
10.908,CONTACT,0.010049,0
10.941,CONTACT,0.009887,0
10.975,CONTACT,0.009928,0
11.008,CONTACT,0.009646,0
11.041,CONTACT,0.009733,0
11.075,CONTACT,0.014487,0
11.108,CONTACT,0.010375,0
11.142,CONTACT,0.009480,0
11.175,CONTACT,0.008334,0
11.208,CONTACT,0.008843,0
11.242,CONTACT,0.008629,0
11.275,CONTACT,0.008692,0
11.308,CONTACT,0.008626,0
11.341,CONTACT,0.008473,0
11.375,CONTACT,0.008479,0
11.408,CONTACT,0.008399,0
11.442,CONTACT,0.008311,0
11.475,CONTACT,0.008282,0
11.508,CONTACT,0.008166,0
11.541,CONTACT,0.008111,0
11.575,CONTACT,0.008082,0
11.608,CONTACT,0.008041,0
11.642,CONTACT,0.007897,0
11.675,CONTACT,0.007812,0
11.708,CONTACT,0.007822,0
11.741,CONTACT,0.007702,0
11.775,CONTACT,0.007666,0
11.808,CONTACT,0.007707,0
11.841,CONTACT,0.007671,0
11.875,CONTACT,0.007616,0
11.908,CONTACT,0.007600,0
11.941,CONTACT,0.007534,0
11.975,CONTACT,0.007509,0
12.008,NON_CONTACT,0.007465,0
12.042,NON_CONTACT,0.007431,0
12.075,NON_CONTACT,0.007400,0
12.108,NON_CONTACT,0.007366,0
12.141,NON_CONTACT,0.007358,0
12.175,NON_CONTACT,0.007326,0
12.208,NON_CONTACT,0.007292,0
12.241,NON_CONTACT,0.007257,0
12.275,NON_CONTACT,0.007233,0
12.308,NON_CONTACT,0.007227,0
12.341,NON_CONTACT,0.007185,0
12.375,NON_CONTACT,0.007155,0
12.408,NON_CONTACT,0.007175,0
12.441,NON_CONTACT,0.007064,0
12.475,NON_CONTACT,0.007128,0
